arm,seed,avg_quality_gap,avg_toxicity,total_welfare,total_interactions,accepted_interactions,degenerate_gap_epochs,caught_replays,false_positives,replay_presented,replay_accepted,presentations_blocked
control,42,0.1910757415063642,0.4009572115028418,157.94225612499994,491,256,0,0,0,0,0,0
control,43,0.16788291260497176,0.4170820941117889,164.9409407493838,494,303,0,0,0,0,0,0
control,44,0.19970918661853532,0.38887075270359317,160.49460740709983,504,244,0,0,0,0,0,0
control,45,0.19907025132273767,0.38694291898765165,166.61296154597446,529,255,0,0,0,0,0,0
control,46,0.16163577818102173,0.4228955686204724,160.92614764835184,529,295,0,0,0,0,0,0
control,47,0.15856321712614435,0.4323221567857911,168.38369501403392,525,328,0,0,0,0,0,0
control,48,0.17302024278818123,0.41391303542364055,149.46981293984314,501,264,0,0,0,0,0,0
control,49,0.1781878306870685,0.40852833945785294,151.85332747387682,495,263,0,0,0,0,0,0
control,50,0.2066265518829114,0.38628429113126866,157.91985881313923,503,240,0,0,0,0,0,0
control,51,0.17897206435336277,0.41290603097344203,147.51122894939414,499,258,0,0,0,0,0,0
replay,42,0.10981250116961168,0.4789520763361509,155.65530998338468,491,414,0,0,0,232,232,0
replay,43,0.08886986846101824,0.4763054711862587,165.20930117341007,494,438,4,0,0,226,226,0
replay,44,0.12188716588453033,0.47088135666445324,162.6491474210483,504,405,0,0,0,233,233,0
replay,45,0.11040566283380893,0.4746788911090566,168.50158396171744,529,438,0,0,0,247,247,0
replay,46,0.07457310337290285,0.4848188022824266,163.18948916816072,529,458,5,0,0,258,258,0
replay,47,0.06308599450813272,0.48551276369134977,166.90971516255394,525,480,8,0,0,260,259,0
replay,48,0.07031520702996723,0.48781948314443657,149.27392324951083,501,437,6,0,0,247,247,0
replay,49,0.11050895744378728,0.4805889889586015,153.6471134167306,495,415,0,0,0,239,239,0
replay,50,0.10866064707240217,0.47788520934124784,153.5784302801037,503,413,1,0,0,242,242,0
replay,51,0.08807449193690817,0.4879989536359342,145.62403358596248,499,425,3,0,0,238,235,0
binding,42,0.1910757415063642,0.4009572115028418,157.94225612499994,491,256,0,0,0,0,0,232
binding,43,0.16788291260497176,0.4170820941117889,164.9409407493838,494,303,0,0,0,0,0,226
binding,44,0.19970918661853532,0.38887075270359317,160.49460740709983,504,244,0,0,0,0,0,233
binding,45,0.19907025132273767,0.38694291898765165,166.61296154597446,529,255,0,0,0,0,0,247
binding,46,0.16163577818102173,0.4228955686204724,160.92614764835184,529,295,0,0,0,0,0,258
binding,47,0.15856321712614435,0.4323221567857911,168.38369501403392,525,328,0,0,0,0,0,260
binding,48,0.17302024278818123,0.41391303542364055,149.46981293984314,501,264,0,0,0,0,0,247
binding,49,0.1781878306870685,0.40852833945785294,151.85332747387682,495,263,0,0,0,0,0,239
binding,50,0.2066265518829114,0.38628429113126866,157.91985881313923,503,240,0,0,0,0,0,242
binding,51,0.17897206435336277,0.41290603097344203,147.51122894939414,499,258,0,0,0,0,0,238
detection,42,0.10904788464556663,0.48188613161020866,24.90813077860227,491,414,0,116,12,232,232,0
detection,43,0.09488078017477121,0.4812697053192851,22.133777420611036,493,437,4,127,9,226,226,0
detection,44,0.10818325440638463,0.47993911259159655,13.50197392353546,505,406,0,124,14,233,233,0
detection,45,0.11182534640757227,0.4762124204552453,48.79100155029094,529,438,0,105,13,247,247,0
detection,46,0.09897105645286848,0.4847998605399333,5.909244531545982,526,433,0,139,9,258,258,0
detection,47,0.10328402005796847,0.48527267010594555,15.313374786729161,525,444,0,126,14,260,259,0
detection,48,0.07061440956903044,0.48813233287865054,23.451455971690166,501,437,6,117,8,247,247,0
detection,49,0.10453429556384768,0.48462577804877327,24.09149926256337,494,414,0,108,15,239,239,0
detection,50,0.10825442505090091,0.4769212477900241,19.817322362019272,504,414,1,132,4,242,242,0
detection,51,0.1050922974841697,0.4859302240574145,28.405344040502865,498,413,0,103,12,238,235,0
