audit_catch,audit_catch_clean,audit_halt_rate,breakeven_coverage,coverage,harm_audit,harm_both,harm_precondition,honest_fp,k,p_int,panel,refusal,threshold,winner
0.39,,,,,,,,,,0.2,shape,1.0,,
0.39,,,,,,,,,,0.3,shape,1.0,,
0.39,,,,,,,,,,0.4,shape,1.0,,
0.39,,,,,,,,,,0.49,shape,1.0,,
0.0,,,,,,,,,,0.5,shape,1.0,,
0.0,,,,,,,,,,0.6,shape,1.0,,
0.0,,,,,,,,,,0.7,shape,1.0,,
0.0,,,,,,,,,,0.8,shape,1.0,,
,,1.0,,0.0,0.1256333333333361,0.1256333333333361,1.0,,20,0.2,harm,,,A
,,1.0,,0.1,0.1256333333333361,0.12561666666666943,0.9000000000000503,,20,0.2,harm,,,A
,,1.0,,0.25,0.1256333333333361,0.12548333333333608,0.75,,20,0.2,harm,,,A
,,1.0,,0.5,0.1256333333333361,0.12470000000000271,0.5,,20,0.2,harm,,,A
,,1.0,,0.75,0.1256333333333361,0.1146500000000022,0.25,,20,0.2,harm,,,A
,,1.0,,1.0,0.1256333333333361,0.0,0.0,,20,0.2,harm,,,P
,,1.0,,0.0,0.1256333333333361,0.1256333333333361,1.0,,20,0.3,harm,,,A
,,1.0,,0.1,0.1256333333333361,0.12561666666666943,0.9000000000000503,,20,0.3,harm,,,A
,,1.0,,0.25,0.1256333333333361,0.12548333333333608,0.75,,20,0.3,harm,,,A
,,1.0,,0.5,0.1256333333333361,0.12470000000000271,0.5,,20,0.3,harm,,,A
,,1.0,,0.75,0.1256333333333361,0.1146500000000022,0.25,,20,0.3,harm,,,A
,,1.0,,1.0,0.1256333333333361,0.0,0.0,,20,0.3,harm,,,P
,,1.0,,0.0,0.1256333333333361,0.1256333333333361,1.0,,20,0.4,harm,,,A
,,1.0,,0.1,0.1256333333333361,0.12561666666666943,0.9000000000000503,,20,0.4,harm,,,A
,,1.0,,0.25,0.1256333333333361,0.12548333333333608,0.75,,20,0.4,harm,,,A
,,1.0,,0.5,0.1256333333333361,0.12470000000000271,0.5,,20,0.4,harm,,,A
,,1.0,,0.75,0.1256333333333361,0.1146500000000022,0.25,,20,0.4,harm,,,A
,,1.0,,1.0,0.1256333333333361,0.0,0.0,,20,0.4,harm,,,P
,,1.0,,0.0,0.1256333333333361,0.1256333333333361,1.0,,20,0.49,harm,,,A
,,1.0,,0.1,0.1256333333333361,0.12561666666666943,0.9000000000000503,,20,0.49,harm,,,A
,,1.0,,0.25,0.1256333333333361,0.12548333333333608,0.75,,20,0.49,harm,,,A
,,1.0,,0.5,0.1256333333333361,0.12470000000000271,0.5,,20,0.49,harm,,,A
,,1.0,,0.75,0.1256333333333361,0.1146500000000022,0.25,,20,0.49,harm,,,A
,,1.0,,1.0,0.1256333333333361,0.0,0.0,,20,0.49,harm,,,P
,,0.0,,0.0,1.0,1.0,1.0,,20,0.5,harm,,,=
,,0.0,,0.1,1.0,0.9000000000000503,0.9000000000000503,,20,0.5,harm,,,P
,,0.0,,0.25,1.0,0.75,0.75,,20,0.5,harm,,,P
,,0.0,,0.5,1.0,0.5,0.5,,20,0.5,harm,,,P
,,0.0,,0.75,1.0,0.25,0.25,,20,0.5,harm,,,P
,,0.0,,1.0,1.0,0.0,0.0,,20,0.5,harm,,,P
,,0.0,,0.0,1.0,1.0,1.0,,20,0.6,harm,,,=
,,0.0,,0.1,1.0,0.9000000000000503,0.9000000000000503,,20,0.6,harm,,,P
,,0.0,,0.25,1.0,0.75,0.75,,20,0.6,harm,,,P
,,0.0,,0.5,1.0,0.5,0.5,,20,0.6,harm,,,P
,,0.0,,0.75,1.0,0.25,0.25,,20,0.6,harm,,,P
,,0.0,,1.0,1.0,0.0,0.0,,20,0.6,harm,,,P
,,0.0,,0.0,1.0,1.0,1.0,,20,0.7,harm,,,=
,,0.0,,0.1,1.0,0.9000000000000503,0.9000000000000503,,20,0.7,harm,,,P
,,0.0,,0.25,1.0,0.75,0.75,,20,0.7,harm,,,P
,,0.0,,0.5,1.0,0.5,0.5,,20,0.7,harm,,,P
,,0.0,,0.75,1.0,0.25,0.25,,20,0.7,harm,,,P
,,0.0,,1.0,1.0,0.0,0.0,,20,0.7,harm,,,P
,,0.0,,0.0,1.0,1.0,1.0,,20,0.8,harm,,,=
,,0.0,,0.1,1.0,0.9000000000000503,0.9000000000000503,,20,0.8,harm,,,P
,,0.0,,0.25,1.0,0.75,0.75,,20,0.8,harm,,,P
,,0.0,,0.5,1.0,0.5,0.5,,20,0.8,harm,,,P
,,0.0,,0.75,1.0,0.25,0.25,,20,0.8,harm,,,P
,,0.0,,1.0,1.0,0.0,0.0,,20,0.8,harm,,,P
,,,0.0,,1.0,,,,1,0.3,breakeven,,,
,,,0.20366666666666666,,0.7963333333333333,,,,2,0.3,breakeven,,,
,,,0.3487777777777826,,0.6512222222222174,,,,3,0.3,breakeven,,,
,,,0.5413999999999912,,0.4586000000000088,,,,5,0.3,breakeven,,,
,,,0.7505999999999946,,0.24940000000000542,,,,10,0.3,breakeven,,,
,,,0.8743666666666638,,0.1256333333333361,,,,20,0.3,breakeven,,,
,,,0.949746666666666,,0.05025333333333401,,,,50,0.3,breakeven,,,
,0.0,,,,,,,0.02033333333333333,,,fp_cost,,0.5,
,0.0,,,,,,,0.204,,,fp_cost,,0.7,
,0.39,,,,,,,0.3556666666666667,,,fp_cost,,0.85,
,0.39,,,,,,,0.38766666666666666,,,fp_cost,,0.95,
